ACTECON;GRUANALI;antiguedad;TAMAEMP;nrotrab;riesgo;categoria;lineanegocio;modular;producto;fechainicio
24;4;10;2;37;2;4;1;1;3;2022-01-07T00:00:00.0000000
24;4;10;2;37;2;4;1;2;3;2021-12-26T00:00:00.0000000
24;4;10;2;37;2;4;1;2;3;2021-12-11T00:00:00.0000000
24;4;10;2;37;2;4;1;2;3;2021-04-19T00:00:00.0000000
24;4;10;2;37;2;4;1;2;3;2021-09-15T00:00:00.0000000
24;4;10;2;37;2;4;1;2;3;2021-05-09T00:00:00.0000000
24;4;10;2;37;2;4;1;1;3;2021-05-28T00:00:00.0000000
24;4;10;2;37;2;4;1;1;3;2021-11-26T00:00:00.0000000
24;4;10;2;37;2;4;1;2;7;2021-12-03T00:00:00.0000000
14;4;32;2;62;1;5;1;2;3;2021-09-12T00:00:00.0000000
15;6;28;2;102;3;1;1;2;3;2022-01-02T00:00:00.0000000
15;6;28;2;102;3;1;1;2;3;2021-12-31T00:00:00.0000000
15;6;28;2;102;3;1;1;2;9;2021-09-30T00:00:00.0000000
15;6;28;2;102;3;1;1;1;10;2021-05-16T00:00:00.0000000
5;13;1;2;73;3;0;1;1;3;2021-11-25T00:00:00.0000000
5;13;1;2;73;3;0;4;2;5;2021-11-25T00:00:00.0000000
5;13;1;2;73;3;0;3;1;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;1;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;2;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;1;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;2;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;2;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;2;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;2;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;1;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;2;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;2;4;2021-11-30T00:00:00.0000000
5;13;1;2;73;3;0;3;2;4;2021-11-30T00:00:00.0000000
