ACTECON;GRUANALI;antigüedad;TAMAEMP;nrotrab;riesgo;categoria;target;modular;prom_antes;cant_antes
ACT_ECON_24;GRU_AN_4;10;TAMA__2;37;RIESGO__2;CATEGORIA__4;1;MODULAR__1;0;0
ACT_ECON_24;GRU_AN_4;10;TAMA__2;37;RIESGO__2;CATEGORIA__4;1;MODULAR__2;1457.8435;1
ACT_ECON_24;GRU_AN_4;10;TAMA__2;37;RIESGO__2;CATEGORIA__4;1;MODULAR__2;0;0
ACT_ECON_24;GRU_AN_4;10;TAMA__2;37;RIESGO__2;CATEGORIA__4;1;MODULAR__2;2892.15946666667;2
ACT_ECON_24;GRU_AN_4;10;TAMA__2;37;RIESGO__2;CATEGORIA__4;1;MODULAR__2;0;0
ACT_ECON_24;GRU_AN_4;10;TAMA__2;37;RIESGO__2;CATEGORIA__4;1;MODULAR__2;472.2934;7
ACT_ECON_24;GRU_AN_4;10;TAMA__2;37;RIESGO__2;CATEGORIA__4;1;MODULAR__1;145.139;6
ACT_ECON_24;GRU_AN_4;10;TAMA__2;37;RIESGO__2;CATEGORIA__4;1;MODULAR__1;0;0
ACT_ECON_24;GRU_AN_4;10;TAMA__2;37;RIESGO__2;CATEGORIA__4;1;MODULAR__2;3530.28603333333;5
ACT_ECON_14;GRU_AN_4;32;TAMA__2;62;RIESGO__1;CATEGORIA__5;1;MODULAR__2;5772.79903333333;4
ACT_ECON_15;GRU_AN_6;28;TAMA__2;102;RIESGO__3;CATEGORIA__1;1;MODULAR__2;4322.12826666667;3
ACT_ECON_15;GRU_AN_6;28;TAMA__2;102;RIESGO__3;CATEGORIA__1;1;MODULAR__2;910.278966666667;2
ACT_ECON_15;GRU_AN_6;28;TAMA__2;102;RIESGO__3;CATEGORIA__1;1;MODULAR__2;-2136.74585;1
ACT_ECON_15;GRU_AN_6;28;TAMA__2;102;RIESGO__3;CATEGORIA__1;1;MODULAR__1;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;1;MODULAR__1;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;4;MODULAR__2;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__1;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__1;2381.3299;3
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;2354.62763333333;2
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__1;49.9756;1
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;2439.07895;1
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__1;2528.72196666667;2
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;4029.12466666667;3
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;2497.32826666667;2
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;2210.0095;1
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__1;3846.4124;1
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__2;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__1;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__1;2928.7621;1
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__1;0;0
ACT_ECON_5;GRU_AN_13;1;TAMA__2;73;RIESGO__3;CATEGORIA__0;3;MODULAR__1;1168.0832;1
ACT_ECON_61;GRU_AN_8;4;TAMA__2;171;RIESGO__0;CATEGORIA__0;4;MODULAR__1;0;0
ACT_ECON_61;GRU_AN_8;4;TAMA__2;171;RIESGO__0;CATEGORIA__0;4;MODULAR__1;0;0
ACT_ECON_61;GRU_AN_8;4;TAMA__2;171;RIESGO__0;CATEGORIA__0;4;MODULAR__1;302.744033333333;5
ACT_ECON_61;GRU_AN_8;4;TAMA__2;171;RIESGO__0;CATEGORIA__0;1;MODULAR__1;191.060466666667;4
ACT_ECON_61;GRU_AN_8;4;TAMA__2;171;RIESGO__0;CATEGORIA__0;1;MODULAR__1;192.695133333333;3
ACT_ECON_77;GRU_AN_4;32;TAMA__2;98;RIESGO__2;CATEGORIA__4;1;MODULAR__1;116.540166666667;2
ACT_ECON_77;GRU_AN_4;32;TAMA__2;98;RIESGO__2;CATEGORIA__4;4;MODULAR__1;123.82505;1
ACT_ECON_77;GRU_AN_4;32;TAMA__2;98;RIESGO__2;CATEGORIA__4;4;MODULAR__2;0;0
ACT_ECON_5;GRU_AN_13;4;TAMA__2;4;RIESGO__3;CATEGORIA__0;4;MODULAR__2;0;0
ACT_ECON_61;GRU_AN_8;8;TAMA__1;216;RIESGO__0;CATEGORIA__0;1;MODULAR__2;0;0
ACT_ECON_61;GRU_AN_8;8;TAMA__1;216;RIESGO__0;CATEGORIA__0;1;MODULAR__2;1452.3275;1
ACT_ECON_61;GRU_AN_8;8;TAMA__1;216;RIESGO__0;CATEGORIA__0;4;MODULAR__2;0;0
ACT_ECON_29;GRU_AN_9;24;TAMA__1;3420;RIESGO__1;CATEGORIA__7;4;MODULAR__2;0;0
ACT_ECON_31;GRU_AN_3;22;TAMA__2;201;RIESGO__2;CATEGORIA__6;2;MODULAR__1;0;0
ACT_ECON_31;GRU_AN_3;22;TAMA__2;201;RIESGO__2;CATEGORIA__6;4;MODULAR__1;0;0
ACT_ECON_31;GRU_AN_3;22;TAMA__2;201;RIESGO__2;CATEGORIA__6;2;MODULAR__2;2839.1268;1
ACT_ECON_5;GRU_AN_13;14;TAMA__2;178;RIESGO__3;CATEGORIA__0;3;MODULAR__1;0;0
ACT_ECON_5;GRU_AN_13;14;TAMA__2;178;RIESGO__3;CATEGORIA__0;3;MODULAR__2;0;0
ACT_ECON_53;GRU_AN_14;14;TAMA__2;358;RIESGO__1;CATEGORIA__5;2;MODULAR__2;1884.4643;2
ACT_ECON_53;GRU_AN_14;14;TAMA__2;358;RIESGO__1;CATEGORIA__5;3;MODULAR__2;267.9004;1
ACT_ECON_8;GRU_AN_4;28;TAMA__2;13;RIESGO__0;CATEGORIA__0;1;MODULAR__2;0;0
ACT_ECON_8;GRU_AN_4;28;TAMA__2;13;RIESGO__0;CATEGORIA__0;1;MODULAR__2;0;0
